NAME,POS,PARTY,DIST,TERM
"Aagard, A. J.",Representative,Republican,14,1915
"Aagard, Douglas C.",Representative,Republican,15,2001-2010
"Aagard, Vance W.",Representative,Republican,"14, 63",1965-1972
"Abbott, Delila M.",Representative,Republican,8,1957
"Abbott, Jedediah",Representative,Democrat,6,1941
"Ablett, A. J.",Representative,Democrat,8,1937
"Acton, Cheryl K.",Representative,Republican,43,2017-2019
"Adair, Gerry A.",Representative,Republican,12,1993-2002
"Adams, Burton H.",Representative,Democrat,11,"1939-1941, 1945"
"Adams, David M.",Representative,Republican,74,1985-1992
"Adams, Donald T.",Senator,Democrat,12,1951-1957
"Adams, George H.",Representative,Republican,13,1903
"Adams, George A.",Representative,Democrat,27,1917
"Adams, Irven Dick",Representative,Republican,6,1963
"Adams, J. Stuart",Representative,Republican,16,2003-2006
"Adams, J. Stuart",Senator,Republican,22,2010-2019
"Adams, Ray R.",Representative,Democrat,8,1933
"Adams, Rufus",Senator,Republican,"3, 13",1921-1923
"Adney, C. G.",Representative,Republican,1,1919
"Aiken, George R.",Representative,Democrat,26,1959-1963
"Aird, Emily D.",Representative,Democrat,11,1935-1937
"Albrecht, Carl R.",Representative,Republican,70,2017-2019
"Albrecht, Clarence J.",Representative,Democrat,22,"1949-1951, 1957-1959"
"Albrecht, Earl L.",Representative,Republican,22,1941
"Alder, Ferdinand",Senator,Republican,9,1899-1901
"Aldous, W. Frank",Representative,Republican,8,1947-1949
"Alexander, Jeff",Representative,Republican,62,1991-2006
"Alford, Kenneth J.",Representative,Republican,47,1981-1986
"Alldredge, Dee",Representative,Republican,24,1981-1982
"Allen, Brian R.",Representative,Republican,46,1995-1998
"Allen, D. Edgar",Senator,Democrat,18,1999-2002
"Allen, Daisy C.",Representative,,8,1917
"Allen, Kay",Representative,Democrat,8,1963-1965
"Allen, M. D.",Representative,Republican,21,1933
"Allen, Norman G.",Representative,Republican,2,1909
"Allen, O. D.",Representative,Republican,12,1905
"Allen, R. Lee",Representative,Republican,1,1983-1992
"Allen, Ron",Senator,Democrat,"13, 12",1999-2005
"Allen, Seth",Representative,,16,1931
"Allen, Sheryl L.",Representative,Republican,19,1995-2010
"Allen, Thomas L.",Representative,Republican,9,1915
"Allen, W. Douglas",Representative,Democrat,8,1937-1939
"Allison, Edward M.",Senator,Republican,4,"1896, 1901-1903"
"Allison, William",Representative,Republican,4,1911
"Allred, Birten",Representative,Democrat,17,1935
"Allred, Horace L.",Representative,Republican,28,1947
"Allred, John F.",Senator,Republican,9,1897
"Allred, Lorin E.",Representative,Democrat,67,1979-1980
"Alsop, C. Earl",Senator,Republican,6,1967-1970
"Anderegg, Jacob L.",Representative,Republican,6,2013-2016
"Anderegg, Jacob L.",Senator,Republican,13,2017-2019
"Andersen, H. Verlan",Representative,Republican,41,1969-1972
"Andersen, Hans P.",Representative,Democrat,2,1933
"Andersen, Kenneth H.",Representative,Democrat,11,1975-1976
"Andersen, Kyle R.",Representative,Republican,7,2019
"Andersen, Sylvia S.",Representative,Republican,48,2007-2008
"Anderson, A. V.",Representative,Republican,8,1905
"Anderson, Byron D.",Representative,Republican,8,1927
"Anderson, Byron F.",Representative,Democrat,11,1991-1992
"Anderson, Carl D.",Representative,Republican,"35, 60",1981-1986
"Anderson, Casey O.",Senator,Republican,28,2012
"Anderson, Edward H.",Representative,Republican,4,1901
"Anderson, Eli H.",Representative,Democrat,1,1993-2004
"Anderson, Farrell D.",Representative,Democrat,63,1973-1974
"Anderson, Glen T.",Representative,Republican,37,1967-1970
"Anderson, H. Claude",Representative,Republican,8,"1923-1927, 1931"
"Anderson, Hyrum",Representative,Democrat,11,1935
"Anderson, James A.",Representative,Republican,5,"1903-1905, 1911"
"Anderson, Jerry B.",Representative,Republican,69,2013-2014
"Anderson, Jesse",Representative,Republican,4,1957
"Anderson, John W.",Senator,Democrat,13,1939
"Anderson, Johnny",Representative,Republican,34,2010-2016
"Anderson, L. R.",Representative,Republican,14,1913-1915
"Anderson, Lyle R.",Representative,Republican,71,1993
"Anderson, Maurice",Representative,Republican,"11, 8","1947-1949, 1957"
"Anderson, R. Clair",Representative,Republican,14,1951-1953
"Anderson, R. Clair",Senator,Republican,9,1955-1957
"Anderson, Ralph C.",Representative,Democrat,"8, 9",1959-1967
"Anderson, Sarah E.",Representative,Democrat,4,1897
"Anderson, Sunday C.",Representative,Democrat,8,1951
"Anderson, W. E.",Representative,Republican,15,1925-1927
"Anderson, William E.",Representative,Republican,8,1953
"Anderton, Bob",Representative,Democrat,49,1989-1992
"Andrus, James",Representative,Democrat,25,1896
"Andrus, M. B.",Representative,Republican,8,1923-1927
"Arbuckle, Robert M.",Representative,Republican,"6, 47",1965-1972
"Archibald, William",Representative,Republican,9,1909
"Arent, Patrice M.",Representative,Democrat,41,1997-2002
"Arent, Patrice M.",Senator,Democrat,4,2003-2006
 ,Representative,Democrat,36,2011-2019
"Argyle, Lorenzo R.",Representative,Democrat,11,1917-1919
"Argyle, Thomas M.",Representative,Democrat,6,1945
"Armstrong, W. W.",Senator,Democrat,6,1917
"Arnovitz, Irwin",Representative,Democrat,8,1933
"Arrington, Irby N.",Representative,Republican,"39, 46","1983-1988, 1991-1994"
"Arrington, John B.",Representative,Democrat,"45, 9",1979-1999
"Asay, E. Verl",Senator,Republican,11,1979-1986
"Ashton, Elias Conway",Representative,Republican,8,1909
"Ashton, Lynne",Senator,Democrat,5,1941-1943
"Ashton, M. O.",Representative,Republican,8,1927
"Ashton, Marvin J.",Senator,Republican,6,1959-1961
"Ashton, W. Stan",Representative,Democrat,12,1933
"Atkin, Sidney J.",Representative,Republican,"69, 75",1969-1976
"Atkinson, Kelly C.",Representative,Democrat,"46, 43",1987-1997
"Atwood, Genevieve",Representative,Republican,1,1975-1980
"Atwood, Guy H.",Representative,Democrat,21,1939
"Atwood, Lawrence",Representative,Democrat,11,1923
"Auerbach, Herbert S.",Senator,Republican,6,1925-1927
"Austin, George",Representative,Democrat,11,1903-1905
"Axton, John T.",Representative,Republican,8,1901
"Baca, Loretta",Representative,Democrat,27,1995-2001
"Backman, Robert L.",Representative,Republican,"6, 12",1971-1974
"Badger, Carl A.",Senator,Republican,6,1909-1911
"Badger, Franklin",Representative,Republican,19,1929
"Badger, Howard C.",Representative,Republican,8,1955
"Bagley, F. Mort",Representative,Democrat,21,1971-1972
"Bagley, Jack R.",Representative,Republican,20,1967
"Bagnall, J. R.",Representative,Republican,14,1949-1951
"Bagnall, Joseph F.",Representative,Republican,14,1923
"Bailey, J. Arthur",Senator,Democrat,6,"1943, 1949"
"Bailey, John",Representative,Democrat,4,1923
"Bailey, Monte",Senator,Democrat,13,1971
"Bailey, Thomas",Senator,Democrat,13,1941
"Bain, Walt",Representative,Republican,17,1987-1992
"Baird, Delpha A.",Senator,Republican,9,1991-1994
"Baker, Clarence E.",Senator,Democrat,13,1937
"Baker, L. L.",Representative,Republican,7,1909
"Baker, Linn C.",Representative,Democrat,4,1949
"Baldwin, Charles",Representative,Republican,8,1923
"Ballard, Melissa G.",Representative,Republican,20,2019
"Ballif, Algie E.",Representative,Democrat,11,1959-1961
"Bamberger, Clarence G.",Representative,Republican,8,1913
"Bamberger, Julian M.",Senator,Democrat,6,1933-1935
"Bamberger, Simon",Senator,Democrat,6,1903-1905
"Bangerter, Jack M.",Senator,Republican,23,1977-1988
"Bangerter, Norman H.",Representative,Republican,"30, 51",1975-1984
"Barber, Alonzo G.",Senator,Democrat,2,1903-1905
"Barker, James J.",Representative,Republican,4,1913-1915
"Barlow, Eldon H.",Representative,Republican,52,1973-1974
"Barlow, Haven J.",Representative,Republican,6,1953-1955
"Barlow, Haven J.",Senator,Republican,"15, 19, 22",1957-1994
"Barlow, Stewart E.",Representative,Republican,17,2011-2019
"Barnes, Albert",Representative,Democrat,15,1955-1957
"Barnes, Claude T.",Representative,Republican,8,1913
"Barnes, J. G. M.",Senator,Democrat,3,1901-1903
"Barnes, John R.",Senator,Democrat,3,1896
"Barnett, Braxton",Representative,Republican,13,1907-1909
"Barnett, Wilmer L.",Senator,Republican,8,1967-1972
"Barrett, William H.",Representative,Republican,20,1901-1903
"Barrus, Roger E.",Representative,Republican,18,2001-2014
"Barth, Steve",Representative,Democrat,26,1993-1999
"Barton, John P.",Representative,Democrat,20,1949-1951
"Barton, William T.",Senator,Republican,12,1979-1990
"Bates, Ephraim",Representative,Republican,9,1929
"Baxter, D. A.",Representative,Democrat,20,1919
"Bayles, Weston L.",Representative,Republican,27,1947
"Beal, David N.",Representative,Republican,14,1925
"Beal, John A.",Senator,Republican,11,1951
"Beard, George",Representative,Republican,9,1896
"Bearnson, Mrs. J. B.",Representative,Democrat,8,1945
"Beattie, Lane",Senator,Republican,23,1989-2000
"Beck, Edward T.",Representative,Democrat,8,1965
"Beck, Edward T.",Senator,Democrat,"10, 11",1969-1978
"Beck, Horace",Representative,Republican,8,1927
"Beck, Trisha S.",Representative,Democrat,48,"1997-2002, 2009-2010"
"Becker, Albert E.",Representative,Republican,4,1929
"Becker, Ralph",Representative,Democrat,24,1997-2007
"Beezley, William L.",Representative,Republican,8,1951
"Behunin, Roy Alan",Representative,Republican,26,1967
"Bell, Gregory S.",Senator,Republican,22,2003-2009
"Bell, J. M.",Representative,Democrat,8,"1943-1945, 1949"
"Belnap, Lorenzo",Representative,Democrat,4,1945
"Bench, John L.",Representative,Republican,14,"1901, 1939-1941"
"Bennett, Charles E.",Representative,Democrat,"7, 13",1971-1978
"Bennett, Charles E.",Senator,Democrat,6,1981-1982
"Bennett, Frank T.",Representative,Democrat,15,1917
"Bennett, John S.",Representative,,29,"1929, 1947"
"Bennion, Chad E.",Representative,Republican,44,1999-2004
"Bennion, Enos",Representative,Republican,12,1913
"Bennion, Harden",Senator,Democrat,12,1899-1905
"Bennion, Heber",Representative,Democrat,"8, 29","1897-1899, 1919, 1935-1941, 1957-1959"
"Bennion, Joseph S.",Representative,Democrat,8,1931
"Bennion, Kenneth S.",Representative,Democrat,8,1945
"Bennion, Owen",Representative,Republican,28,1925-1927
"Benson, Andrew G.",Representative,Republican,7,1907
"Benson, B. Y.",Representative,Democrat,2,1913
"Benson, R. Ralph",Representative,Republican,39,1967-1970
"Berg, O. H.",Representative,Democrat,11,1917
"Bernard, Milly O.",Representative,Democrat,27,1973-1976
"Bernhard, John T.",Senator,Republican,7,1963-1965
"Bernheisel, John M.",Representative,Democrat,2,1896
"Berrett, Wilbur H.",Representative,Republican,48,1973-1974
"Beshear, Cindy",Representative,Democrat,39,2001-2002
"Betts, John E.",Representative,Democrat,11,1899
"Beus, J. Levi",Representative,Democrat,4,1957-1959
"Beus, James R.",Representative,,4,1931
"Bevan, Archibald",Senator,,1,1917-1919
"Bevan, J. Alex",Representative,,7,1915-1917
"Bickmore, Danford M.",Representative,,2,1911
"Bigelow, Ron",Representative,Republican,32,1995-2010
"Billings, G. Victor",Representative,,28,1917
"Billings, G. Victor",Senator,Democrat,5,1937-1939
"Billings, George P.",Representative,,12,1901
